Title,Awards,Total_Awards_Won,Total_Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_Won,Oscar_Awards_Won,Golden_Globe_Awards_Won,BAFTA_Awards_Won
Glauber o Filme; Labirinto do Brasil,6 wins & 2 nominations.,6,2,0,0,0,0,0,0,0,0
55 Degrees North,1 nomination.,0,1,0,0,0,0,0,0,0,0
JoJo's Circus,1 nomination.,0,1,0,0,0,0,0,0,0,0
3 Non-Blondes,3 nominations.,0,3,0,0,0,0,0,0,0,0
The Consequences of Love,14 wins & 17 nominations.,14,17,0,0,0,0,0,0,0,0
Allá tú,3 wins & 7 nominations.,3,7,0,0,0,0,0,0,0,0
Meltdown,2 nominations.,0,2,0,0,0,0,0,0,0,0
Major League Baseball 2005,1 nomination.,0,1,0,0,0,0,0,0,0,0
In the Darkness of the Night,5 wins & 2 nominations.,5,2,0,0,0,0,0,0,0,0
Adoption Stories,1 win.,1,0,0,0,0,0,0,0,0,0
Alarm für Cobra 11 - Einsatz für Team 2,1 win.,1,0,0,0,0,0,0,0,0,0
Lucky Jack: Three Attempts to Stop Smoking,1 nomination.,0,1,0,0,0,0,0,0,0,0
Scooby-Doo and the Loch Ness Monster,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Wedding,13 wins & 7 nominations.,13,7,0,0,0,0,0,0,0,0
Afers exteriors,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Mothers; Fathers; and Other Strangers,1 win.,1,0,0,0,0,0,0,0,0,0
Anal Surprise Party,1 nomination.,0,1,0,0,0,0,0,0,0,0
Eye of the Beholder,3 nominations.,0,3,0,0,0,0,0,0,0,0
Tails from the Toilet,3 nominations.,0,3,0,0,0,0,0,0,0,0
59 segundos,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
Love Hurts,2 wins.,2,0,0,0,0,0,0,0,0,0
Close Encounters with Keith Barry,1 nomination.,0,1,0,0,0,0,0,0,0,0
Muttertag,1 win.,1,0,0,0,0,0,0,0,0,0
Star Wars: Knights of the Old Republic II - The Sith Lords,2 nominations.,0,2,0,0,0,0,0,0,0,0
A Escrava Isaura,1 win & 15 nominations.,1,15,0,0,0,0,0,0,0,0
The Uninvited Guest,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
6Teen,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
969,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
Sex Across America: The Tenth Stop Aspen,1 nomination.,0,1,0,0,0,0,0,0,0,0
Akai tsuki,5 nominations.,0,5,0,0,0,0,0,0,0,0
Sex Ed,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
A Diarista,6 wins & 6 nominations.,6,6,0,0,0,0,0,0,0,0
American Latino TV,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Cape Cod,1 win.,1,0,0,0,0,0,0,0,0,0
Avenzio - Schöner leben!,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Shining in 30 Seconds (and Re-enacted by Bunnies),1 win.,1,0,0,0,0,0,0,0,0,0
Gold,1 nomination.,0,1,0,0,0,0,0,0,0,0
24 oras,4 nominations.,0,4,0,0,0,0,0,0,0,0
The Brother,1 nomination.,0,1,0,0,0,0,0,0,0,0
Love Is in the Air,1 nomination.,0,1,0,0,0,0,0,0,0,0
Alles muss raus,1 nomination.,0,1,0,0,0,0,0,0,0,0
About Us,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
About Us,1 win.,1,0,0,0,0,0,0,0,0,0
Who Kidnapped Shergar,1 nomination.,0,1,0,0,0,0,0,0,0,0
Agatha Christie's Marple,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Missy Elliott: Pass That Dutch,1 win.,1,0,0,0,0,0,0,0,0,0
Star Wars: Episode III - Revenge of the Sith,Nominated for 1 Oscar. Another 25 wins & 51 nominations.,25,52,0,1,0,0,0,0,0,0
Bob the Butler,1 nomination.,0,1,0,0,0,0,0,0,0,0
Até Amanhã; Camaradas,8 wins & 20 nominations.,8,20,0,0,0,0,0,0,0,0
Cursed,2 nominations.,0,2,0,0,0,0,0,0,0,0
Hostage,4 nominations.,0,4,0,0,0,0,0,0,0,0
The Upside of Anger,5 wins & 12 nominations.,5,12,0,0,0,0,0,0,0,0
Echoes of Innocence,3 wins.,3,0,0,0,0,0,0,0,0,0
Goal! The Dream Begins,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
Accused,7 wins & 5 nominations.,7,5,0,0,0,0,0,0,0,0
Waqt: The Race Against Time,4 nominations.,0,4,0,0,0,0,0,0,0,0
The Ice Harvest,2 nominations.,0,2,0,0,0,0,0,0,0,0
Underworld: Evolution,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
The Sisterhood of the Traveling Pants,1 win & 14 nominations.,1,14,0,0,0,0,0,0,0,0
War of the Worlds,Nominated for 3 Oscars. Another 13 wins & 40 nominations.,13,43,0,3,0,0,0,0,0,0
Blind Man's Bluff,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
A Place of Our Own: Los Niños en Su Casa,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Miami Vice,1 win & 9 nominations.,1,9,0,0,0,0,0,0,0,0
Basic Instinct 2,8 wins & 6 nominations.,8,6,0,0,0,0,0,0,0,0
Kidnapped,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Descent,8 wins & 17 nominations.,8,17,0,0,0,0,0,0,0,0
Afterlife,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
Mardi Gras: Made in China,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
30 Days,4 wins & 4 nominations.,4,4,0,0,0,0,0,0,0,0
The Real Dirt on Farmer John,5 wins.,5,0,0,0,0,0,0,0,0,0
Aída,27 wins & 31 nominations.,27,31,0,0,0,0,0,0,0,0
Man Exposed,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Solo,1 nomination.,0,1,0,0,0,0,0,0,0,0
Encantadia,3 wins.,3,0,0,0,0,0,0,0,0,0
Help,4 wins.,4,0,0,0,0,0,0,0,0,0
Ot 180 i vyshe,4 nominations.,0,4,0,0,0,0,0,0,0,0
Babs Johnson and the Cavalcade of Perversion: An Exploration in Exploitation,5 wins.,5,0,0,0,0,0,0,0,0,0
The Break-Up,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
Before the Flood,3 wins.,3,0,0,0,0,0,0,0,0,0
Black Christmas,1 nomination.,0,1,0,0,0,0,0,0,0,0
Lost and Found,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The Pursuit of Happyness,Nominated for 1 Oscar. Another 11 wins & 24 nominations.,11,25,0,1,0,0,0,0,0,0
Exit,1 win.,1,0,0,0,0,0,0,0,0,0
Abuela de verano,3 nominations.,0,3,0,0,0,0,0,0,0,0
10.5: Apocalypse,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Cutting Edge: Going for the Gold,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Lua Me Disse,21 nominations.,0,21,0,0,0,0,0,0,0,0
8 Out of 10 Cats,4 nominations.,0,4,0,0,0,0,0,0,0,0
A Picture of Britain,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
The Book of Daniel,1 win.,1,0,0,0,0,0,0,0,0,0
A Guide to Recognizing Your Saints,7 wins & 9 nominations.,7,9,0,0,0,0,0,0,0,0
One of Those Days,1 win.,1,0,0,0,0,0,0,0,0,0
Alma Gêmea,3 wins & 32 nominations.,3,32,0,0,0,0,0,0,0,0
Internal Turmoil of the Plastic Kind,1 win.,1,0,0,0,0,0,0,0,0,0
War,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
