Title,Awards,Total_Awards_Won,Total_Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_Won,Oscar_Awards_Won,Golden_Globe_Awards_Won,BAFTA_Awards_Won
Assassin's Creed IV: Black Flag,1 win & 11 nominations.,1,11,0,0,0,0,0,0,0,0
Friends with Better Lives,1 nomination.,0,1,0,0,0,0,0,0,0,0
Istanbul Unveiled,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Bullit: The Documentary,1 win.,1,0,0,0,0,0,0,0,0,0
Betrayal,1 nomination.,0,1,0,0,0,0,0,0,0,0
Eclipse em Portugal,1 nomination.,0,1,0,0,0,0,0,0,0,0
Inja Iran,2 nominations.,0,2,0,0,0,0,0,0,0,0
Vegas,2 nominations.,0,2,0,0,0,0,0,0,0,0
Truth or Dare,19 wins & 10 nominations.,19,10,0,0,0,0,0,0,0,0
Phoenix,15 wins & 27 nominations.,15,27,0,0,0,0,0,0,0,0
Dessert Contest,1 win.,1,0,0,0,0,0,0,0,0,0
The Wild,2 nominations.,0,2,0,0,0,0,0,0,0,0
Bad Judge,3 nominations.,0,3,0,0,0,0,0,0,0,0
Veronica Mars,6 nominations.,0,6,0,0,0,0,0,0,0,0
Skin,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Big Brother Canada,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Goal of the Dead,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Interview,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
24: India,1 nomination.,0,1,0,0,0,0,0,0,0,0
An Bronntanas,1 nomination.,0,1,0,0,0,0,0,0,0,0
Starry Eyes,6 wins & 15 nominations.,6,15,0,0,0,0,0,0,0,0
Checkmate; Keep Your Enemies Closer,3 wins & 5 nominations.,3,5,0,0,0,0,0,0,0,0
Wilt Chamberlain: Borscht Belt Bellhop,1 nomination.,0,1,0,0,0,0,0,0,0,0
Bomba,1 nomination.,0,1,0,0,0,0,0,0,0,0
Kingsman: The Secret Service,6 wins & 19 nominations.,6,19,0,0,0,0,0,0,0,0
Chicago P.D.,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
As Canalhas,1 nomination.,0,1,0,0,0,0,0,0,0,0
Flower,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Best Laid Plans,5 wins & 4 nominations.,5,4,0,0,0,0,0,0,0,0
Bem-Vindos a Beirais,5 wins & 6 nominations.,5,6,0,0,0,0,0,0,0,0
Cosplay Piano,1 win.,1,0,0,0,0,0,0,0,0,0
Bastards,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
The Rise and Rise of Bitcoin,1 nomination.,0,1,0,0,0,0,0,0,0,0
Anna Karenina,1 win.,1,0,0,0,0,0,0,0,0,0
Power Games: The Packer-Murdoch Story,4 wins & 6 nominations.,4,6,0,0,0,0,0,0,0,0
Anthony Bourdain: Parts Unknown,Won 5 Primetime Emmys. Another 7 wins & 23 nominations.,12,23,0,0,0,0,5,0,0,0
Role Play,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Final Straw,1 nomination.,0,1,0,0,0,0,0,0,0,0
Battlefield 4,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
Job Interview,6 wins & 12 nominations.,6,12,0,0,0,0,0,0,0,0
Brother,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
Cool Kids Don't Cry,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Cedar Cove,1 nomination.,0,1,0,0,0,0,0,0,0,0
Aliens: The Definitive Guide,1 win.,1,0,0,0,0,0,0,0,0,0
Behind the Mask,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Patrick's Day,12 wins & 10 nominations.,12,10,0,0,0,0,0,0,0,0
Casting,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Sacrifice,1 win.,1,0,0,0,0,0,0,0,0,0
Safe,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Waiting for the Thaw,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Exile,1 nomination.,0,1,0,0,0,0,0,0,0,0
Dead End,5 wins & 15 nominations.,5,15,0,0,0,0,0,0,0,0
By Any Means,2 nominations.,0,2,0,0,0,0,0,0,0,0
3 Teresas,2 nominations.,0,2,0,0,0,0,0,0,0,0
My Old Lady,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The Last Black Sea Pirates,4 wins & 7 nominations.,4,7,0,0,0,0,0,0,0,0
Bigg Boss Kannada,1 win.,1,0,0,0,0,0,0,0,0,0
The Dead 2: India,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Lady in Number 6: Music Saved My Life,Won 1 Oscar. Another 2 wins & 1 nomination.,3,1,0,0,0,0,0,1,0,0
Cutthroat Kitchen,1 nomination.,0,1,0,0,0,0,0,0,0,0
Star Wars Rebels,4 wins & 14 nominations.,4,14,0,0,0,0,0,0,0,0
Kings,1 nomination.,0,1,0,0,0,0,0,0,0,0
Amor à Vida,20 wins & 19 nominations.,20,19,0,0,0,0,0,0,0,0
Full Moon,1 nomination.,0,1,0,0,0,0,0,0,0,0
More Scenes from a Gay Marriage,6 wins & 2 nominations.,6,2,0,0,0,0,0,0,0,0
La clé de la chambre à lessive,1 win.,1,0,0,0,0,0,0,0,0,0
Ich hab noch Auferstehung,1 nomination.,0,1,0,0,0,0,0,0,0,0
Buenos Aires,1 win.,1,0,0,0,0,0,0,0,0,0
The Detectives,1 nomination.,0,1,0,0,0,0,0,0,0,0
App,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
A Menina Sem Qualidades,2 wins.,2,0,0,0,0,0,0,0,0,0
Throwback,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
Call of Duty: Ghosts,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
Up the Women,2 wins.,2,0,0,0,0,0,0,0,0,0
Kung Fu Killer,3 wins & 12 nominations.,3,12,0,0,0,0,0,0,0,0
Sweets,8 nominations.,0,8,0,0,0,0,0,0,0,0
Badehotellet,5 nominations.,0,5,0,0,0,0,0,0,0,0
Boundless,1 nomination.,0,1,0,0,0,0,0,0,0,0
Lightning Returns: Final Fantasy XIII,5 nominations.,0,5,0,0,0,0,0,0,0,0
Remember Me,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The Hunters,1 nomination.,0,1,0,0,0,0,0,0,0,0
Grayson: Earth One,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
Grace,1 win.,1,0,0,0,0,0,0,0,0,0
BBQ Crawl,1 nomination.,0,1,0,0,0,0,0,0,0,0
Jon and Jen Are Married,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Super Smash Bros. for Wii U,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The Purge: Anarchy,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
Dolphin Tale 2,2 nominations.,0,2,0,0,0,0,0,0,0,0
Planes: Fire & Rescue,6 nominations.,0,6,0,0,0,0,0,0,0,0
180 Days: A Year Inside an American High School,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Growing,1 nomination.,0,1,0,0,0,0,0,0,0,0
Cowboys,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Simple Agi Ondh Love Story,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
Mike Tyson: Undisputed Truth,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
Shame,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
Revival,1 win & 12 nominations.,1,12,0,0,0,0,0,0,0,0
Alpha House,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
Big Freedia: Queen of Bounce,1 nomination.,0,1,0,0,0,0,0,0,0,0
Annedroids,3 wins & 17 nominations.,3,17,0,0,0,0,0,0,0,0
Mon meilleur ami,1 nomination.,0,1,0,0,0,0,0,0,0,0
Happy Ending,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Coastal Forecast,1 nomination.,0,1,0,0,0,0,0,0,0,0
Crime: The Animated Series,1 nomination.,0,1,0,0,0,0,0,0,0,0
Faults,5 nominations.,0,5,0,0,0,0,0,0,0,0
Swing,1 nomination.,0,1,0,0,0,0,0,0,0,0
Hollywood Game Night,Won 2 Primetime Emmys. Another 3 wins & 5 nominations.,5,5,0,0,0,0,2,0,0,0
Assumption of Risk,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Count Arthur Strong,2 nominations.,0,2,0,0,0,0,0,0,0,0
AFI Life Achievement Award: A Tribute to Mel Brooks,Won 1 Primetime Emmy. Another 1 nomination.,1,1,0,0,0,0,1,0,0,0
Belmonte,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Pride,6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0,0
A Crime to Remember,2 wins.,2,0,0,0,0,0,0,0,0,0
Need for Speed: Rivals,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Blow Up,1 win.,1,0,0,0,0,0,0,0,0,0
Of Mind and Music,8 wins & 2 nominations.,8,2,0,0,0,0,0,0,0,0
Clarence,1 nomination.,0,1,0,0,0,0,0,0,0,0
Broken Quest,1 nomination.,0,1,0,0,0,0,0,0,0,0
Boys,1 nomination.,0,1,0,0,0,0,0,0,0,0
Anke hat Zeit,1 win.,1,0,0,0,0,0,0,0,0,0
Late Season,1 nomination.,0,1,0,0,0,0,0,0,0,0
Anzac Girls,3 wins & 8 nominations.,3,8,0,0,0,0,0,0,0,0
Snowflake; the White Gorilla: Giving the Characters a Voice,1 win.,1,0,0,0,0,0,0,0,0,0
Violet,4 wins & 11 nominations.,4,11,0,0,0,0,0,0,0,0
Soul,5 wins & 6 nominations.,5,6,0,0,0,0,0,0,0,0
Burka Avenger,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Memphis,2 nominations.,0,2,0,0,0,0,0,0,0,0
37 Days,1 nomination.,0,1,0,0,0,0,0,0,0,0
On the Edge,2 nominations.,0,2,0,0,0,0,0,0,0,0
WNUF Halloween Special,1 win.,1,0,0,0,0,0,0,0,0,0
Abgefahren - Wissen auf Rädern,1 nomination.,0,1,0,0,0,0,0,0,0,0
See No Evil 2,1 nomination.,0,1,0,0,0,0,0,0,0,0
These Hopeless Savages,1 win.,1,0,0,0,0,0,0,0,0,0
Christine. Perfekt war gestern!,2 nominations.,0,2,0,0,0,0,0,0,0,0
Cap South,1 nomination.,0,1,0,0,0,0,0,0,0,0
One Night in Oslo,6 nominations.,0,6,0,0,0,0,0,0,0,0
Dirty Talk,8 wins.,8,0,0,0,0,0,0,0,0,0
Coming Home,15 wins & 30 nominations.,15,30,0,0,0,0,0,0,0,0
Madden NFL 25,1 nomination.,0,1,0,0,0,0,0,0,0,0
Sweet Corn,2 wins.,2,0,0,0,0,0,0,0,0,0
Houdini,Won 1 Primetime Emmy. Another 1 win & 21 nominations.,2,21,0,0,0,0,1,0,0,0
Blue Zoo,1 nomination.,0,1,0,0,0,0,0,0,0,0
Gold,2 nominations.,0,2,0,0,0,0,0,0,0,0
Son of Batman,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The Journey,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Montauk,1 win.,1,0,0,0,0,0,0,0,0,0
Backpackers,2 nominations.,0,2,0,0,0,0,0,0,0,0
Junk Bonds: The Return of Junkbucket,1 win.,1,0,0,0,0,0,0,0,0,0
Pride,Nominated for 1 Golden Globe. Another 8 wins & 16 nominations.,8,17,0,0,1,0,0,0,0,0
One Last Hug: Three Days at Grief Camp,Won 1 Primetime Emmy. Another 2 wins.,3,0,0,0,0,0,1,0,0,0
Ek Villain,7 wins & 8 nominations.,7,8,0,0,0,0,0,0,0,0
BeanTown,1 win.,1,0,0,0,0,0,0,0,0,0
Helpless,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Consequences,1 win.,1,0,0,0,0,0,0,0,0,0
Charlie,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Acting Dead,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Chef's Life,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Alex Tagliani: L'homme; l'athlète,1 nomination.,0,1,0,0,0,0,0,0,0,0
Bennington Gothique,1 nomination.,0,1,0,0,0,0,0,0,0,0
Arman ja viimeinen ristiretki,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Queens & Cowboys: A Straight Year on the Gay Rodeo,5 wins.,5,0,0,0,0,0,0,0,0,0
Alice,3 nominations.,0,3,0,0,0,0,0,0,0,0
Brave Men's Blood,4 nominations.,0,4,0,0,0,0,0,0,0,0
The Ambassador to Bern,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
The Kingdom of Dreams and Madness,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Gauntlet,1 win.,1,0,0,0,0,0,0,0,0,0
Ambush,1 nomination.,0,1,0,0,0,0,0,0,0,0
Toxic Hot Seat,1 nomination.,0,1,0,0,0,0,0,0,0,0
B&b; de boca en boca,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Secret Love,3 nominations.,0,3,0,0,0,0,0,0,0,0
A to Z,1 nomination.,0,1,0,0,0,0,0,0,0,0
All in with Laila Ali,4 wins.,4,0,0,0,0,0,0,0,0,0
Bnei Aruba,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Big Girl,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Homecoming,1 nomination.,0,1,0,0,0,0,0,0,0,0
Trailer Park Boys: Don't Legalize It,2 nominations.,0,2,0,0,0,0,0,0,0,0
Big History,1 win.,1,0,0,0,0,0,0,0,0,0
Clarence,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,2,1,0,0,0,0,0,0,0
Bloody Knuckles,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
El Beso,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Grease XXX: A Parody,6 wins & 3 nominations.,6,3,0,0,0,0,0,0,0,0
The Internet's Own Boy: The Story of Aaron Swartz,4 wins & 2 nominations.,4,2,0,0,0,0,0,0,0,0
All at Sea,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Caper,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
Yearbook,5 wins & 3 nominations.,5,3,0,0,0,0,0,0,0,0
Last Days in Vietnam,Nominated for 1 Oscar. Another 4 wins & 9 nominations.,4,10,0,1,0,0,0,0,0,0
2013 World Series,2 wins.,2,0,0,0,0,0,0,0,0,0
@midnight,Won 2 Primetime Emmys. Another 3 nominations.,2,3,0,0,0,0,2,0,0,0
Ai Weiwei: The Fake Case,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
The African Americans: Many Rivers to Cross with Henry Louis Gates; Jr.,4 wins.,4,0,0,0,0,0,0,0,0,0
Once in a Lifetime,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Animals,9 wins & 1 nomination.,9,1,0,0,0,0,0,0,0,0
Nightsatan and the Loops of Doom,1 win.,1,0,0,0,0,0,0,0,0,0
But I'm Chris Jericho!,5 nominations.,0,5,0,0,0,0,0,0,0,0
Borderland,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
A Short History of the Highrise,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
The Real Housewives of Horror,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Alaska Gold Diggers,1 win.,1,0,0,0,0,0,0,0,0,0
Confusion Through Sand,4 wins & 3 nominations.,4,3,0,0,0,0,0,0,0,0
Emergency Calls,2 wins & 4 nominations.,2,4,0,0,0,0,0,0,0,0
Boys,9 wins & 7 nominations.,9,7,0,0,0,0,0,0,0,0
Bedlam,2 wins.,2,0,0,0,0,0,0,0,0,0
Whitey: United States of America v. James J. Bulger,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
Brojects,2 nominations.,0,2,0,0,0,0,0,0,0,0
About a Girl,8 wins & 3 nominations.,8,3,0,0,0,0,0,0,0,0
Ask a Slave,1 nomination.,0,1,0,0,0,0,0,0,0,0
19-2,6 wins & 25 nominations.,6,25,0,0,0,0,0,0,0,0
Benched,1 win.,1,0,0,0,0,0,0,0,0,0
Air Rescue,1 nomination.,0,1,0,0,0,0,0,0,0,0
3 A.M. 3D: Part 2,1 nomination.,0,1,0,0,0,0,0,0,0,0
Bloody Slumber Party,2 wins.,2,0,0,0,0,0,0,0,0,0
A Day Late and a Dollar Short,2 wins & 16 nominations.,2,16,0,0,0,0,0,0,0,0
Fantasmas de la ruta,1 nomination.,0,1,0,0,0,0,0,0,0,0
Parasyte: The Maxim,2 nominations.,0,2,0,0,0,0,0,0,0,0
Barbarous Mexico,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Fallen Angel,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
Soul Mates,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Mafia Kills Only in Summer,15 wins & 20 nominations.,15,20,0,0,0,0,0,0,0,0
Embarrassing Bodies Down Under,1 nomination.,0,1,0,0,0,0,0,0,0,0
Artist,1 win.,1,0,0,0,0,0,0,0,0,0
Finn,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Justin Timberlake Ft. Jay-Z: Suit & Tie,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
Android Cop,1 win.,1,0,0,0,0,0,0,0,0,0
Spring,4 wins & 10 nominations.,4,10,0,0,0,0,0,0,0,0
BoJack Horseman,2 wins & 6 nominations.,2,6,0,0,0,0,0,0,0,0
Restoration of Paradise: The Bolsa Chica Wetlands - Behind the Scenes,1 nomination.,0,1,0,0,0,0,0,0,0,0
Taking My Parents to Burning Man,4 wins & 4 nominations.,4,4,0,0,0,0,0,0,0,0
Oblivion Season,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Dolphins,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Michael Bublé's 3rd Annual Christmas Special,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Number One Fan,1 win & 6 nominations.,1,6,0,0,0,0,0,0,0,0
Humor,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Sigur Rós: Valtari,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Tonight Show Starring Jimmy Fallon,Won 2 Primetime Emmys. Another 7 wins & 23 nominations.,9,23,0,0,0,0,2,0,0,0
Rabbit,3 wins.,3,0,0,0,0,0,0,0,0,0
Alec Mapa: Baby Daddy,2 wins.,2,0,0,0,0,0,0,0,0,0
Something Must Break,7 wins & 9 nominations.,7,9,0,0,0,0,0,0,0,0
A Teia,1 nomination.,0,1,0,0,0,0,0,0,0,0
Having Fun Up There,2 wins.,2,0,0,0,0,0,0,0,0,0
Freedom Summer,2 nominations.,0,2,0,0,0,0,0,0,0,0
Happiness,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
Patterns of Evidence: The Exodus,6 wins.,6,0,0,0,0,0,0,0,0,0
Bosteri unterm Rad,3 nominations.,0,3,0,0,0,0,0,0,0,0
Amores Roubados,9 wins & 5 nominations.,9,5,0,0,0,0,0,0,0,0
Untucked,1 nomination.,0,1,0,0,0,0,0,0,0,0
Jack,6 wins & 7 nominations.,6,7,0,0,0,0,0,0,0,0
Chopped Canada,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Gift,2 nominations.,0,2,0,0,0,0,0,0,0,0
Happily Ever After,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Anne & Alet,1 nomination.,0,1,0,0,0,0,0,0,0,0
Auf den Hund gekommen,1 nomination.,0,1,0,0,0,0,0,0,0,0
When Under Fire: Shoot Back!,1 nomination.,0,1,0,0,0,0,0,0,0,0
Breadwinners,5 nominations.,0,5,0,0,0,0,0,0,0,0
Black-ish,Nominated for 4 Primetime Emmys. Another 18 wins & 40 nominations.,18,44,4,0,0,0,0,0,0,0
Shadow,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Kings of The Wind & Electric Queens,1 win.,1,0,0,0,0,0,0,0,0,0
The Cavalry,1 win.,1,0,0,0,0,0,0,0,0,0
Together,1 nomination.,0,1,0,0,0,0,0,0,0,0
Mozart in the Jungle,Won 2 Golden Globes. Another 3 wins & 3 nominations.,5,3,0,0,0,0,0,0,2,0
Bosch,Nominated for 1 Primetime Emmy. Another 4 nominations.,0,5,1,0,0,0,0,0,0,0
1983,5 wins.,5,0,0,0,0,0,0,0,0,0
See No Evil,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
Stop at Nothing: The Lance Armstrong Story,1 win.,1,0,0,0,0,0,0,0,0,0
Memories,1 nomination.,0,1,0,0,0,0,0,0,0,0
From Iran; a Separation,1 nomination.,0,1,0,0,0,0,0,0,0,0
Breaking Ice,2 nominations.,0,2,0,0,0,0,0,0,0,0
Chirp,1 nomination.,0,1,0,0,0,0,0,0,0,0
Relentless,1 win.,1,0,0,0,0,0,0,0,0,0
The Incident,8 wins.,8,0,0,0,0,0,0,0,0,0
Adventure,1 nomination.,0,1,0,0,0,0,0,0,0,0
Ciega a citas,1 nomination.,0,1,0,0,0,0,0,0,0,0
14 Tagebücher des Ersten Weltkriegs,1 nomination.,0,1,0,0,0,0,0,0,0,0
Aldnoah.Zero,1 nomination.,0,1,0,0,0,0,0,0,0,0
Scars of Cambodia,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
Three Times Manon,1 win.,1,0,0,0,0,0,0,0,0,0
Construction,1 nomination.,0,1,0,0,0,0,0,0,0,0
Mulheres de Abril,2 nominations.,0,2,0,0,0,0,0,0,0,0
Poka - Heisst Tschüss auf Russisch,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Diablo III: Reaper of Souls,1 win.,1,0,0,0,0,0,0,0,0,0
Date Night,1 win.,1,0,0,0,0,0,0,0,0,0
Chicagoland,1 nomination.,0,1,0,0,0,0,0,0,0,0
Jane the Virgin,Won 1 Golden Globe. Another 12 wins & 39 nominations.,13,39,0,0,0,0,0,0,1,0
Party Time Party Time,1 win.,1,0,0,0,0,0,0,0,0,0
The High Five,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Cilla,3 wins & 5 nominations.,3,5,0,0,0,0,0,0,0,0
One Day of Betty,1 win.,1,0,0,0,0,0,0,0,0,0
Fall,6 nominations.,0,6,0,0,0,0,0,0,0,0
Billy Connolly's Big Send Off,1 win.,1,0,0,0,0,0,0,0,0,0
2014,1 nomination.,0,1,0,0,0,0,0,0,0,0
Little Brother,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Awaiting Lazarus,2 nominations.,0,2,0,0,0,0,0,0,0,0
Signed; Sealed; Delivered,1 nomination.,0,1,0,0,0,0,0,0,0,0
Once Upon a Time,6 wins & 2 nominations.,6,2,0,0,0,0,0,0,0,0
Panic Button,1 win.,1,0,0,0,0,0,0,0,0,0
All Over the Place: Australia,2 nominations.,0,2,0,0,0,0,0,0,0,0
Árvore da Vida: Madeira,1 nomination.,0,1,0,0,0,0,0,0,0,0
Breviário Biltre,1 nomination.,0,1,0,0,0,0,0,0,0,0
Fate/stay night: Unlimited Blade Works,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Te Amo! Shabbat Shalom,1 win.,1,0,0,0,0,0,0,0,0,0
The Princess and the Magic Mirror,2 nominations.,0,2,0,0,0,0,0,0,0,0
All-Star Orchestra,1 win.,1,0,0,0,0,0,0,0,0,0
Cesar 911,2 nominations.,0,2,0,0,0,0,0,0,0,0
Old School,2 nominations.,0,2,0,0,0,0,0,0,0,0
Rusty Scraps of Metal,1 nomination.,0,1,0,0,0,0,0,0,0,0
21 Years: Richard Linklater,1 nomination.,0,1,0,0,0,0,0,0,0,0
Raging Balls of Steel Justice,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The Game Changer,1 win.,1,0,0,0,0,0,0,0,0,0
Turbulence,3 nominations.,0,3,0,0,0,0,0,0,0,0
39+1,1 nomination.,0,1,0,0,0,0,0,0,0,0
Your Inner Fish,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Unordinary Journey in an Ordinary Day,1 win.,1,0,0,0,0,0,0,0,0,0
Day 40,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Orphans & Kingdoms,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Cara Fi,1 nomination.,0,1,0,0,0,0,0,0,0,0
Ascension,1 nomination.,0,1,0,0,0,0,0,0,0,0
Danny and the Wild Bunch,2 wins.,2,0,0,0,0,0,0,0,0,0
Settling,1 nomination.,0,1,0,0,0,0,0,0,0,0
Black Comedy,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Além do Horizonte,8 nominations.,0,8,0,0,0,0,0,0,0,0
Unfriended,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
Court,15 wins & 6 nominations.,15,6,0,0,0,0,0,0,0,0
Bollywood Dreams,1 nomination.,0,1,0,0,0,0,0,0,0,0
Pela Boca Morre o Peixe,1 nomination.,0,1,0,0,0,0,0,0,0,0
Nighthawks,1 win.,1,0,0,0,0,0,0,0,0,0
Chip,1 win.,1,0,0,0,0,0,0,0,0,0
Akame ga Kill!,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
A Rainy Day,1 nomination.,0,1,0,0,0,0,0,0,0,0
Speed Dating,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Asterix and Obelix: Mansion of the Gods,2 nominations.,0,2,0,0,0,0,0,0,0,0
Maradona '86,1 nomination.,0,1,0,0,0,0,0,0,0,0
Sweet Sixteen,1 win.,1,0,0,0,0,0,0,0,0,0
Be a Pro,2 wins.,2,0,0,0,0,0,0,0,0,0
In the Turn,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Greece,4 wins & 7 nominations.,4,7,0,0,0,0,0,0,0,0
Grumpy Cat's Worst Christmas Ever,4 nominations.,0,4,0,0,0,0,0,0,0,0
Peter De Rome: Grandfather of Gay Porn,1 nomination.,0,1,0,0,0,0,0,0,0,0
All Hail King Julien,5 wins & 11 nominations.,5,11,0,0,0,0,0,0,0,0
Collita pròpia,1 nomination.,0,1,0,0,0,0,0,0,0,0
Britain's Whale Hunters: The Untold Story,1 nomination.,0,1,0,0,0,0,0,0,0,0
Bajo sospecha,1 nomination.,0,1,0,0,0,0,0,0,0,0
Murdered by My Boyfriend,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Is That You?,1 nomination.,0,1,0,0,0,0,0,0,0,0
Dissolution,1 nomination.,0,1,0,0,0,0,0,0,0,0
Too Late,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Promotion,1 nomination.,0,1,0,0,0,0,0,0,0,0
Hamish & Andy's Gap Year South America,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Greed,1 win & 14 nominations.,1,14,0,0,0,0,0,0,0,0
What a Wonderful World,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
Boogie Oogie,5 nominations.,0,5,0,0,0,0,0,0,0,0
Bogan Hunters,1 nomination.,0,1,0,0,0,0,0,0,0,0
K'na; the Dreamweaver,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
Flowers,8 wins & 15 nominations.,8,15,0,0,0,0,0,0,0,0
100 Things to Do Before High School,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
Trophy Wife,4 nominations.,0,4,0,0,0,0,0,0,0,0
Bad Guys,1 nomination.,0,1,0,0,0,0,0,0,0,0
